innumerable          무수한, 설 수 없는
amenity              (장소, 기후 등이) 쾌적함
abuse                남용하다. 학대하다. 남용, 학대
superfluous          여분의, 남는
memorandum           비망록, 매모, 각서
decrease             감소, 축소, 감소하다. 줄다.
conscientious        양심적인, 성실한
victim               희생, 희생자
refuge               피난, 피난소
compatible           양립하는, 모순되지 않는
swear                선서하다. 맹세하다.
adopt                채용하다. 양자로 삼다.
garbage              쓰레기, 찌꺼기
accommodate          숙박시키다. 편의를 도모하다.
bully                못살게 굴다. 위협하다.
compound             합성물, 합성의, 합성하다.
pretext              구실, 핑계
arbitrary            임의의
snobbery             속물근성
device               고안, 장치
intention            의지, 의도
recommend            추천하다.
constitution         헌법, 구성, 설
congress             (미국의) 의회, 국회
parliament           의회, 국회
session              회기
nation               국민, 국가, 민족
propaganda           (주의.신념의) 선전
nationality          국적, 국민성
sovereign            군주, 주권자, 주권이 있는
president            대통령, 사장
minister             장관, 성직자
government           정부, 통치
cabinet              내각, 내각의
budget               예산, 예산안
policy               정책, 방책
suffrage             선거권, 투표권
candidate            후보자, 지원자
representative       대표자, (미국의) 하원의원, 대표적인
ambassador           대사
embassy              대사관
diplomacy            외교(술)
diplomatic           외교의
diplomat             외교관
autonomy             자치, 자치권
governor             통치자, 주지사
citizen              시민, 민간인
mayor                시장
domain               영토, 영역
territory            영토
treaty               조약, 협정
reign                통치, 지배, 통치하다, 지배하다.
ally                 동맹을 맺다. 동맹국, 연합국
alliance             동맹(국)
community            공동 사회, 공동체
delegate             대표자, 파견위원, 대표로 파견하다.
mission              사명, 사절(단)
revenue              소득, 세입
reform               개혁, 개혁하다.
conservative         보수적인, 보수주의의, 보수주의자.
patriotic            애국적인
tyranny              폭정, 전제정치
dictator             독재자
feudal               중세의, 봉건제의
colony               식민지
aristocracy          귀족정치, 귀족
autocracy            독재정치
tyrant               폭군, 전제군주
communism            공산주의
segregation          분리, 인종 차별
mob                  폭도, 군중
migrate              이주하다.
immigrate            (외국에서) 이주해 오다.
immigrant            이민, 이주자
emigrate             (다른나라로) 이민가다.
emigrant             이민, 이주인
emigration           이주
contaminate          오염시키다.
pollution            오염, 공해
weapon               무기
armament             장비, 군비
nuclear              핵의, 핵무기의, 핵무기
navy                 해군
military             군대의, 육군의
submarine            잠수함, 해저의
warfare              전쟁
assault              공격하다. 폭행하다. 습격, 폭행
truce                휴전
disarm               군비를 축소하다. 무장 해제하다.
disarmament          군비 축소, 무장 해제
economical           경제적인, 절약하는
financial            제정(상)의, 금융의
capitalism           자본주의
factory              공장
branch               지사, 기지, 부문
expense              비용, 지출, 지출금, 소요경비
expenditure          지출, 비용
employ               고용하다.
employer             고용주
produce              생산하다. 제품, 농산물
producer             생산자, 제작자
production           생산, 제작
fluid                유동성의, 유동체, 액체
wage                 임금, 급료
monopoly             독점, 독점권
product              산물, 생산물
output               생산고, 생산
manufacture          제조, 제품, 제조하다.
merchandise          상품
ware                 상품
regulation           규칙, 규제
wholesale            도매, 도매의, 대규모의
retail               소매, 소매하다.
transport            수송, 수송하다.
fare                 운영
insurance            보험(금)
consumption          소비
